,Birth 1,Birth 2,Birth 3,Birth 4,Death 1,Death 2,Event 1,Event 2
07-Feb,Charles Dickens- 1812,James Spader- 1960,Chris Rock- 1965,Ashton Kutcher- 1978,Pope Pius IX- 1878,Viola Desmond- 1965,1940 - British Railways nationalised,1940 - Pinocchio premieres in New York
08-Feb,James Deam- 1931,Seth Green- 1974,Dani Harmer- 1989,John Williams- 1932,Mary Queen of Scots- 1587,Tara Palmer Tomkinson- 2017,1922 - James I disbands english parliament,1968 - Planet of the Apes premieres in New York
09-Feb,Tom Hiddleston- 1981,Michael B Jordan- 1987,Rose Leslie- 1987,Joe Pesci- 1943,Princess Margaret- 2002,Barry Evans- 1997,1825 - James Quincy Adams becomes 6th president,1971 - Apollo 14 returns to earth
10-Feb,Chloe Grace Moretz- 1997,Holly Willoughby- 1981,Justin Gatlin- 1982,Elizabeth Banks- 1973,Shirley Temple- 2014,Jospeh Lister- 1912,1814 - French beat Russians at battle of Champaubert,1918 - Russia leaves WW1
11-Feb,Thomas Edison- 1847,Jennifer Aniston- 1969,Taylor Lautner- 1992,Natalie Dormer- 1982,Whitney Houston- 2012,Alexander McQueen- 2010,1531 - Henry VIII founds Church of England,1809 - Steamboat is patented
12-Feb,Abraham Lincoln- 1809,Charles Darwin- 1809,Josh Brolin- 1968,Christina Ricci- 1980,Gary Owens- 2015,Charles Schulz- 2000,1554 - Lady Jane Grey  executed for treason,1818 - Chile gains independence from Spain
13-Feb,Robbie Williams- 1974,Katie Hopkins- 1975,Hugh Dennis- 1962,Jerry Springer- 1944,Richard Wagner- 1883,Christabel Pankhurst- 1958,1861 - Abraham Lincoln declared US President,1982 - Pink Floyd's Dark Side of the Moon breaks record for most weeks in charts 
14-Feb,Freddie Highmore- 1992,Simon Pegg- 1970,Teller- 1948,Christian Eriksen- 1992,James Cook- 1779,Tom Finnay- 2014,1859 - Oregon becomes 33rd state,1931 - Original Dracula film released
15-Feb,Galileo- 1564,Ziggy- 1991,Alex Borstein- 1973,Matt Groening- 1955,Nat King Cole- 1965,Richard Feynman- 1988,1933 - Franklin Roosevelt is target of failed assassination,1936 - Hitler announces building of Volkswagen automobiles
16-Feb,Amanda Holden- 1971,Elizabeth Olsen- 1989,Christopher Eccleston- 1964,Levar Burton- 1957,Lesley Gore- 2015,Elyse Knox- 2012,1923 - Explorers discover tomb of tutankhamun,1945 - Venezuela enters WW2
