,Birth 1,Birth 2,Birth 3,Birth 4,Death 1,Death 2,Event 1,Event 2
18-Aug,Andy Samberg- 1978,Patrick Swayze- 1952,Edward Norton- 1969,Mika- 1983,Bruce Forsyth- 2017,Scott McKenzie- 2012,2017 - Stephen Bannon fired as White House chief strategist,1969 - Mick Jagger accidentally shot
19-Aug,Bill Clinton- 1946,Matthew Perry- 1969,Coco Chanel- 1883,John Deacon- 1951,Groucho Marx- 1977,Caesar Augustus- 14BC,1897 - First electric taxis drive in London,1909 - Indy 500 race track opens
20-Aug,Demi Lovato- 1992,Andrew Garfield- 1983,David Walliams- 1971,Misha Collins- 1974,Jerry Lewis- 2017,Tom Searle- 2016,1940 - Churchill makes 'never in the field of human conflict' speech,2015 - 30 students injured in mass pillow fight at West Point Military Academy
21-Aug,Usain Bolt- 1986,Kim Cattrall- 1956,Kenny Rogers- 1938,Robert Lewandowski- 1988,Leon Trotsky- 1940,Ettore Bugatti- 1947,1959 - Hawaii becomes 50th state,2017 - Big Ben bongs for last time before restoration work begins
22-Aug,James Corden- 1978,Ty Burrell- 1967,Kristen Wiig- 1973,Richard Armitage- 1971,Richard III- 1485,Johnny Carey- 1995,1945 - Vietnam War begins ,2015 - World Athletics Championships open in Beijing
23-Aug,Gene Kelly- 1912,Kobe Bryant- 1978,Scott Caan- 1976,Rick Springfield- 1949,Jerry Nelson- 2012,David Rose- 1990,1996 - Osama Bin Laden declares war against America,2011 - Colonel Gaddafi overthrown as leader of Libya
24-Aug,Rupert Grint- 1988,Steven Fry- 1957,Kenny Baker- 1934,Jared Harris- 1961,Richard Attenborough- 2014,Jay Thomas- 2017,1891 - Thomas Edison patents motion picture camera,2009 - First episode of Pointless airs 
25-Aug,Blake Lively- 1987,Tim Burton- 1958,Sean Connery- 1930,Tom Hollander- 1967,Neil Armstrong- 2012,Truman Capote- 1984,1921 - US signs peace treaty with Germany,1718 - French Colonists found New Orleans
26-Aug,Chris Pine- 1980,Melissa McCarthy- 1970,Macaulay Culkin- 1980,Mother Teresa- 1910,Ted Knight- 1986,Tobe Hooper- 2017,1939 - Belgium mobilises troops ready for war with Germany,2017 - Peace march in Barcelona following terror attacks
27-Aug,Aaron Paul- 1979,Lyndon B Johnson- 1908,Don Bradman- 1908,Dietmar Hamann- 1973,John Laurens- 1782,Rowland Hill- 1879,1813 - Napoleon defeats Austrian army in battle of Dresden,1955 - first Guinness Book of World Records published
28-Aug,Jack Black- 1969,Shania Twain- 1965,Florence Welch- 1986,Armie Hammer- 1986,Juan Gabriel- 2016,James Wilson- 1798,1884 - First photograph of tornado is taken,1939 - Netherlands mobilises troops ready for war with Germany
29-Aug,Michael Jackson- 1958,Liam Payne- 1993,John McCain- 1936,Richard Attenborough- 1923,Gene Wilder- 2016,Ingrid Bergman- 1982,1640 - Charles I signs peace treaty with Scotland,2014 - Ebola outbreak reaches Senegal
30-Aug,Cameron Diaz- 1972,Angel Coulby- 1980,Mary Shelley- 1797,Ryan Ross- 1986,Wes Craven- 2015,Charles Bronson- 2003,1850 - Honolulu becomes a city,1941 - Churchill approves a nuclear programme
31-Aug,Richard Gere- 1949,Cel Spellman- 1995,Dee Bradley Baker- 1962,Chris Tucker- 1971,Princess Diana- 1997,Rocky Marciano- 1969,1962 - Trinidad and Tobago gain independence from Britain,2016 - Brazil government votes to impeach Dilma Rousseff
01-Sep,Rocky Marciano- 1923,Gael Monfils- 1986,Dr Phil McGraw- 1950,Barry Gibb- 1946,William Clark- 1838,Jerry Reed- 2008,1939 - Britain declares war on Germany after invasion of Poland,2013 - Gareth Bale moves from Spurs to Real Madrid for record transfer fee
02-Sep,Keanu Reaves- 1964,Salma Hayek- 1966,Zedd- 1989,Mark Harmon- 1951,JRR Tolkein- 1973,Ho Chi Minh- 1969,1898 - First machine gun used in battle,2015 - Barack Obama becomes first US president to go to the Arctic
03-Sep,Charlie Sheen- 1965,Fearne Cotton- 1981,Omi- 1986,RedFoo- 1975,Oliver Cromwell- 1658,Michael Clarke Duncan- 2012,1189 - Richard I crowned king of England,2013 - Microsoft purchase Nokia for $7.2B
04-Sep,Beyonce- 1981,James Bay- 1990,Mark Ronson- 1975,Wes Bentley- 1978,Steve Irwin- 2006,Joan Rivers- 2014,1893 - Beatrix Potter writes the story of Peter Rabbit,1998 - Google founded by Larry Page and Sergey Brin
05-Sep,Freddie Mercury- 1946,Michael Keaton- 1951,Carice Van Houten- 1976,Johnny Vegas- 1970,Mother Teresa- 1997,Simone Battle- 2014,1991 - Nelson Mandela becomes preisdent of African Nation Congress,1958 - Doctor Zhivago published in US
06-Sep,Idris Elba- 1972,Pippa Middleton- 1983,Mat Horne- 1978,Jeff Foxworthy- 1958,Pavarotti- 2007,Len Hutton- 1990,1651 - Charless II spends day hiding in tree after losing battle of Worcester,1916 - First supermarket opens in Memphis- Tennessee
07-Sep,Queen Elizabeth I- 1533,Toby Jones- 1966,Dean Charles Chapman- 1997,Gloria Gaynor- 1949,Keith Moon- 1978,Hannah More- 1833,2013 - Tony Abbott becomes Prime Minister of Australia,2006 - Borat premieres at Toronto film festival
08-Sep,P!nk- 1979,Bernie Sanders- 1941,Avicii- 1989,Gaten Matarazzo- 2002,Troy Gentry- 2017,Don Williams- 2017,1986 - First Episode of 'Oprah' airs in US,1966 - First episode of Star Trek airs on television
09-Sep,Michael Buble- 1975,Adam Sandler- 1966,Hugh Grant- 1960,Colonel Sanders- 1890,Chairman Mao- 1976,Jack Warner- 1978,1543 - Mary Queen of Scots becomes queen aged 9 months,1945 - First 'bug' is discovered to be a moth trapped inside a computer
10-Sep,Colin Firth- 1960,Bill O'Reilly- 1949,Laurent Koscielny- 1985,Arnold Palmer- 1929,Cliff Robertson- 2011,Jane Wyman- 2007,1939 - Canada declares war on Germany,2015 - Peter Robinson resigns as first minister of Northern Ireland
11-Sep,Kygo- 1991,Moby- 1965,Elizabeth Henstridge- 1987,Bashar Al-Assad- 1965,Alexis Arquette- 2016,John Ritter- 2003,2001 - Two passenger planes fly into World Trade Centre in New York,1789 - Alexander Hamilton appointed 1st secretary of the treasury
12-Sep,Paul Walker- 1973,Louis CK- 1967,Hans Zimmer- 1957,Barry White- 1944,Johnny Cash- 2003,Ian Paisley- 2014,1940 - Italian troops invade Egypt,2015 - Jermey Corbyn elected leader of labour party
13-Sep,Roald Dahl- 1916,Niall Horan- 1993,Michael Johnson- 1967,Shane Warne- 1969,Tupac- 1996,Brian Close- 2015,122 - Building begins on Hadrian's wall,2005 - Supernatural first airs on television
14-Sep,Andrew Lincoln- 1973,Ashley Roberts- 1981,Sam Neill- 1947,Amy Winehouse- 1983,Grace Kelly- 1982,Patrick Swayze- 2009,2003 - Sweden rejects adopting the euro,2003 - Estonia votes to join European Union
15-Sep,Prince Harry- 1984,Tom Hardy- 1977,Marco Polo- 1254,Jimmy Carr- 1972,Harry Dean Stanton- 2017,Violet Brown- 2017,1835 - HMS Beagle reaches Galapagos Islands,1928 - Alexander Fleming discovers Penicillin
16-Sep,Amy Poehler- 1971,Flo Rida- 1979,BB King- 1925,Micky Rourke- 1952,Marc Bolan- 1977,James II- 1701,2001 - George W Bush declares War on Terror,1997 - Steve Jobs named CEO of Apple
17-Sep,Baz Luhrmann- 1962,Anastacia- 1968,Ella Purnell- 1996,Tomas Berdych- 1985,Charmian Carr- 2016,Red Skelton- 1997,1940 - Nazis announce that jews aren't allowed possessions,1954 - Lord of the flies published
18-Sep,Jada Pinkett Smith- 1971,Lance Armstrong- 1971,Jason Sudekis- 1975,James Marsden- 1973,Jimi Hendrix- 1970,Leonhard Euler- 1783,1934 - Soviet Union joins league of nations,1990 - Liechtenstein becomes memer of United Nations
19-Sep,Jimmy Fallon- 1974,Adam West- 1928,Skepta- 1982,Jeremy Irons- 1948,Jackie Collins- 2015,James A Garfield- 1881,1944 - Luftwaffe bombs dutch city of Eindhoven- over 200 killed,2005 - First episode of How I met your Mother airs on television
20-Sep,Jon Bernthal- 1976,George RR Martin- 1948,Jo Pavey- 1973,Henrik Larson- 1971,Brian Clough- 2004,Jean Sibelius- 1957,1860 - Prince Edward becomes first member of royal family to travel to US,1985 - Disney World welcomes it's 200 millionth guest
21-Sep,Stephen King- 1947,Bill Murray- 1950,Liam Gallagher- 1972,Doc Brown- 1980,Shawty Lo- 2016,Jaco Pastorius- 1987,1964 - Malta gains independence from Britain,1937 - The hobbit is published
22-Sep,Tom Felton- 1987,Billie Piper- 1982,Tatiana Maslany- 1985,Sue Perkins- 1969,Guru Nanak- 1539,Marcel Marceau- 2007,1896 - Queen Victoria becomes longest reigning monarch,1989 - Baywatch first airs on television
23-Sep,Bruce Springsteen- 1949,Karl Pilkington- 1972,Cherie Blair- 1954,Yvette Fielding- 1968,Sigmund Freud- 1939,Pablo Neruda- 1973,1974 - BBC Ceefax starts operating,1994 - Shawshank redemption opens in cinemas
24-Sep,Ben Platt- 1993,Ian Bohen- 1976,Owen Farrell- 1991,Coleen Garcia- 1992,Dr Seuss- 1991,Bill Nunn- 2016,1952 - first KFC restaurant opens in Salt Lake City,1957 - Camp Nou opens in Barcelona
25-Sep,Will Smith- 1968,Mark Hammill- 1951,Donald Glover- 1983,Declan Donnelly- 1975,Arnold Palmer- 2016,John Bonham- 1980,1926 - Henry Ford announces 8 hour- 5 day work week,2003 - 8.0 magnitude earthquake strikes Japan
26-Sep,Serena Williams- 1981,Olivia Newton John- 1948,Megan McKenna- 1992,Michael Ballack- 1976,Paul Newman- 2008,Daniel Boone- 1820,2016 - First Presidential Election debate,1982 - Knight Rider first airs on television
27-Sep,Lil Wayne- 1982,Avril Lavigne- 1984,Gwyneth Paltrow- 1972,Brendon McCullum- 1981,Hugh Hefner- 2017,Cliff Burton- 1986,2015 - Supermoon and Lunar Eclipse coincide- causing 'blood moon',1993 - Cracker first airs on ITV
28-Sep,Hilary Duff- 1987,Naomi Watts- 1968,Marin Cilic- 1988,Melody Thornton- 1984,Louis Pastuer- 1895,Edwin Hubble- 1953,1923 - First Radio Times is published,2008 - Elon Musk launches first commercial spacecraft
29-Sep,Halsey- 1994,Zachary Levi- 1980,Alfie Boe- 1973,Silvio Berlusconi- 1936,Tony Curtis- 2010,Bill Shankly- 1981,2013 - 42 students killed by Boko Haram at a college in Nigeria,2002 - Europe wins 34th rider cup 15.5-12.5
30-Sep,Ezra Miller- 1992,Ola Jordan- 1982,Max Verstappen- 1997,Marion Cotillard- 1975,James Dean- 1955,Robert Kardashian- 2003,1997 - Microsoft releases Internet Explorer 4 ,1967 - Radio 1 first goes onto air
01-Oct,Julie Andrews- 1935,Theresa May- 1956,Zach Galifianakis- 1969,Brie Larson- 1989,EB White- 1985,Reggie Kray- 2000,2015 - Mudslide kills 131 people in Guatemala City,1992 - Cartoon Network first airs
02-Oct,Mahatma Gandhi- 1869,Sting- 1951,Richard III- 1452,Samantha Barks- 1990,Tom Petty- 2017,Gene Autry- 1998,2001 - NATO authorizes US strikes following 9/11,2016 - Kim Kardashian has $10m worth of jewellery stolen at gunpoint
03-Oct,Lena Headey- 1973,Danny O'Donaghue- 1979,Alicia Vikander- 1988,Tessa Thompson- 1984,Ronnie Barker- 2005,Benjamin Orr- 2000,1977 - Premier of India- Indira Gandhi is arrested,1955 - Mickey Mouse Club  premieres
