John Barrowman - 1967,Shane Richie - 1964,Alex Kingston - 1963,Didier Drogba - 1978,Alexander Fleming - 1955,Slobodan Milosevic - 2006,2011 - Japanese earthquake and tsunami ,2006 - Michelle Bachelet becomes first female president of Chile
Liza Minnelli - 1946,Danny Jones - 1986,Mitt Romney - 1947,Coleen Nolan - 1965,Anne Frank - 1956,Terry Pratchett - 2015,2012 - Hunger Games premieres in LA,1958 - British empire day is renamed commonwealth day
Kaya Scodelario - 1992,Common - 1972,Harry Melling - 1989,Naughty Boy - 1985,Susan B Anthony - 1906,Benjamin Harrison - 1901,1943 - Failed assassination attempt on Hitler,2013 - Pope Francis becomes pope
Albert Einstein - 1879,Michael Caine - 1933,Steph Curry - 1988,Billy Crystal - 1948,Karl Marx - 1883,Tony Benn - 2014,1990 - Mikhail Gorbachev becomes president of USSR,2013 - Xi Jinping becomes president of China 
Will.I.Am - 1975,Andrew Jackson - 1767,Eva Longoria - 1975,Paul Pogba - 1993,Julius Caesar - 44BC,David Brenner - 2014,1744 - French King Louis XV declares war on England,1820 - Maine becomes 23rd state
Jerome Flynn - 1963,Aisling Bea - 1984,Theo Walcott - 1989,George Ford - 1993,Frank Sinatra Jr - 2016,James Cotton - 2017,1872 - First FA Cup final,1976 - Prime Minister Harold Wilson resigns
John Boyega - 1992,Ruth Langsford - 1950,Nat King Cole - 1919,Alexander McQueen - 1969,Paul Daniels - 2016,Helen Hayes - 1993,1973 - New London Bridge is opened,2017 - Live action Beauty and the Beast opens in cinemas
Adam Levine - 1979,Neville Chamberlain - 1869,Lily Collins - 1989,Grover Cleveland - 1837,Chuck Berry - 2017,Natasha Richardson - 2009,1995 - Michael Jordan comes out of retirement ,2011 - Messenger spacecraft enters mercury's orbit
Bruce Willis - 1955,Harvey Weinstein - 1952,Glenn Close - 1947,Maddy Hill - 1990,Mohammed Ali - 2006,Randy Rhoades - 1982,1931 - Nevada legalises gambling,2016 - Batman v Superman premieres in Mexico City
Emma Willis - 1976,Chester Bennington - 1976,David Thewlis - 1963,Vera Lynn - 1917,Lev Yeshin - 1990,Queen Juliana of Holland - 2004,1930 - KFC is founded by Colonel Sanders,1944 - Mount Vesuvius erupts
Gary Oldman - 1958,Timothy Dalton - 1944,Ayrton Senna - 1960,Matthew Broderick - 1962,Martin McGuinness - 2017,Peter Brown - 2016,1935 - Persia is renamed Iran,1963 - Alcatraz prison is closed
Reese Witherspoon - 1976,William Shatner - 1931,Andrew Lloyd Webber - 1948,Gaz Beadle - 1988,Jade Goody - 2009,Rob Ford - 2016,1790 - Thomas Jefferson becomes first secretary of state,1963 - The Beatles release their first album - Please Please Me
Russell Howard - 1980,Mo Farah - 1983,Damon Albarn - 1968,Keri Russell - 1976,Lil Chris - 2015,Ken Howard - 2016,1933 - Hitler is granted dictatorial powers,1956 - Sudan becomes independent from Britain
Mary Berry - 1935,Harry Houdini - 1874,Alan Sugar - 1947,Finn Jones - 1988,Elizabeth I - 1603,Johan Cryuff - 2016,1603 - Scottish King James VI become James 1 of England,1837 - Canada gives black citizens the right to vote
Elton John - 1947,Lee Pace - 1979,Patrick Troughton - 1920,Wladimir Klitchsko - 1976,Claude Debussy - 1918,Buck Owens - 2006,1199 - Richard I is wounded by crossbow bolt ,1306 - Robert the Bruce becomes king of scotland
Keira Knightley - 1985,Leonard Nimoy - 1931,Matin Short - 1950,Steve Tyler - 1948,Beethoven - 1827,Cecil Rhodes - 1902,1992 - Mike Tyson sentenced to 10 years in prison,2005 - Doctor Who returns to television
Quentin Tarantino - 1963,Nathan Fillion - 1971,Mariah Carey - 1970,Jessie J - 1988,Yuri Gagarin - 1968,Warren Stevens - 2012,1995 - Back for Good by Take That becomes #1 in 31 countries,1984 - Starlight Express musical premieres
Nick Frost - 1972,Vince Vaughn - 1970,Lady Gaga - 1986,Zoe Sugg - 1990,Virginia Woolf - 1941,Patrick Troughton - 1987,1939 - Spanish Civil War ends,1994 - BBC radio 5 live airs for the first time
Brendan Gleeson - 1955,Elle MacPherson - 1964,N'Golo Kante - 1991,Scott Wilson - 1942,Richard Griffiths - 2013,Charles Wesley - 1788,1871 - Royal Albert Hall opens,2015 - Australia beats NZ to win cricket world cup
Celine Dion - 1968,Vincent Van Gogh - 1853,Robbie Coltrane - 1950,Piers Morgan - 1965,The Queen Mother - 2002,Michael Jeter - 2003,2000 - Richard Branson is knighted,2013 - North Korea announces it is 'at war' with South Korea
Ewan McGregor - 1971,J.S. Bach - 1685,Christopher Walken - 1943,Al Gore - 1948,Ronnie Corbett - 2016,Isaac Newton - 1727,1889 - Eiffel Tower opens in Paris,1999 - 10 Things I hate about you is released in cinema
Phillip Schofield - 1962,Susan Boyle - 1961,Asa Butterfield - 1997,Debbie Reynolds - 1932,Marvin Gaye - 1984,Scott Joplin - 1917,2001 - Holland becomes first country to allow same sex marriage,2017 - Chinese announce plans to build new city 3x the size of New York
Michael Fassbender - 1977,Alec Guinness - 1914,Clark Gregg - 1962,Hans Christian Anderson - 1805,Pope John Paul II - 2005,Georges Pompidou - 1974,1860 - 1st meeting of Italian parliament in Turin,2015 - 140 people killed by gunmen at kenyan university
Eddie Murphy - 1961,Alec Baldwin - 1958,Leona Lewis - 1985,Nigel Farage - 1964,Johannes Brahms - 1897,Sarah Brady - 2015,1657 - Oliver Cromwell refuses crown of Britain,2017 - Bomb on St Petersburg Metro kills 11 
Robert Downey Jr - 1965,Heath Ledger - 1979,Graeme Norton - 1963,Hugo Weaving - 1960,Martin Luther King - 1968,Karl Benz - 1944,1841 - John Tyler becomes 10th US President,1850 - City of Los Angeles founded
Pharrell Williams - 1973,Lily James - 1979,Gregory Peck - 1916,Anthony Horowitz - 1955,Kurt Cobain - 1994,Georges Danton - 1794,1954 - Elvis Presley records debut single,1955 - Anthony Eden becomes prime minister of UK
Paul Rudd - 1969,Michael Rooker - 1955,Louie Spence - 1969,Raphael - 1483,Raphael - 1520,Mickey Rooney - 2014,1672 - France declares war on the Netherlands,1991 - Maradona gets 15 month ban for cocaine use
Tim Peake - 1972,Jackie Chan - 1954,Russell Crowe - 1964,Franck Ribery - 1983,Henry Ford - 1947,Peaches Geldof - 2014,2001 - Mars Odyssey is launched,2017 - Donald Trump announces missile strikes on syria
Gennady Golovkin - 1982,Taylor Kitsch - 1981,Patricia Arquette - 1968,Matty Healy - 1989,Margaret Thatcher - 2013,James Hellwig - 2014,1879 - Milk sold in glass bottles for first time,1977 - Yitzhak Rabin resigns as premier oh Israel
Gerard Way - 1977,Kristen Stewart - 1990,Hugh Hefner - 1926,Dennis Quaid - 1954,Francis Bacon - 1626,Frank Lloyd Wright - 1959,1953 - 'TV Guide' published for first time,1963 - Winston Churchill becomes first honorary US citizen
Daisy Ridley - 1992,Alex Pettyfer - 1990,Charlie Hunnam - 1980,Roberto Carlos - 1973,Dixie Carter - 2010,Natalie Schafer - 1991,2014 - Amazing Spider Man 2 premieres in London,2017 - Guardians of the Galaxy vol 2 premieres in Tokyo
Jeremy Clarkson - 1960,DJ Fresh - 1977,Will Tudor - 1987,Cerys Matthews - 1969,The Elephant Man - 1890,J. Geils - 2017,1976 - Apple 1 computer is released,2012 - The Avengers premieres in L.A
Brendon Urie - 1987,Claire Danes - 1979,Andy Garcia - 1956,Bobby Moore - 1941,Franklin D Roosevelt - 1945,David Gest - 2016,1931 - Spanish monarchy is rejected by the public,1987 - Texaco files for bankruptcy
Thomas Jefferson - 1743,Ron Perlman - 1950,Peter Davison - 1951,George North - 1992,Dan Rooney - 2017,King Curtis - 1971,1957 - 12 Angry Men released,2015 - Premiere of Avengers: Age of Ultron
Peter Capaldi - 1958,Sarah Michelle Gellar - 1977,Adrien Brody - 1973,Pete Rose - 1941,George Handel - 1759,Peter Steele - 2010,1912 - RMS Titanic hits an iceberg,2017 - The fate of the furious is released in cinemas
Emma Watson - 1990,Maisie Williams - 1997,Emma Thompson - 1959,Luke Evans - 1979,Abraham Lincoln - 1865,Tommy Cooper - 1984,1738 - Bottle Opener invented,1793 - Bank of England issues first £5 note
Charlie Chaplin - 1889,Pope Benedict - 1927,Lily Loveless - 1990,Nate Diaz - 1985,Pat Summerall - 2013,Joe Kirk - 1975,1862 - Slavery abolished in district of Columbia,1986 - Colonel Gaddafi denies rumours he's dead
Sean Bean - 1959,Victoria Beckham - 1974,Jennifer Garner - 1972,Eliza Doolittle - 1988,Benjamin Franklin - 1790,Doris Roberts - 2016,2011 - First Episode of Game of Thrones,2013 - Same Sex marriage legalised in New Zealand
David Tennant - 1971,Rosie Huntington Whiteley - 1987,Kourtney Kardashian - 1979,Rick Moranis - 1953,Albert Einstein - 1955,Erasmus Darwin - 1802,1982 - Zimbabwe capital renamed as Harare,2017 - Teresa May announces Snap Election
James Franco - 1978,Maria Sharapova - 1987,Joe Hart - 1987,Hayden Christensen - 1981,Charles Darwin - 1882,Elisabeth Sladen - 2011,2005 - Pope Benedict becomes pope,1770 - James Cook first sees Australia
Andy Serkis - 1964,George Takei - 1937,Felix Baumgartner - 1969,Miranda Kerr - 1983,Victoria Wood - 2016,Bram Stoker - 1912,1611 - First Performance of Macbeth,1992 - Memorial Concert for Freddie Mercury held at wembley stadium
Queen Elizabeth - 1926,James McAvoy - 1979,Gugu Mbatha-Raw - 1983,Steve Backshall - 1973,Prince - 2016,Mark Twain - 1910,2010 - Shrek 4 premieres,2016 - Barack Obama begins 4 day state visit to UK
Jack Nicholson - 1937,Amber Heard - 1986,Louis Smith - 1989,David Luiz - 1987,Richard Nixon - 1994,Erin Moran - 2017,1994 - Largest lollipop ever is made in Denmark,2014 - David Moyes is sacked as Manchester United Manager
William Shakespeare - 1564,John Cena - 1977,Dev Patel - 1990,James Buchanan - 1791,William Shakespeare - 1616,William Hartnell - 1975,1597 - 'The merry wives of windsor' is first performed,1992 - The first McDonalds opens in China
Sachin Tendulkar - 1973,Kelly Clarkson - 1982,Barbra Streisand - 1942,Joe Keery - 1992,Wallis Simpson - 1986,Estee Lauder - 2004,1953 - Winston Churchill Knighted by Elizabeth II,1969 - Paul McCartney announces that he isn't dead
Al Pacino - 1940,Len Goodman - 1974,Renee Zellweger - 1969,Johan Cryuff - 1947,Ginger Rogers - 1995,Tito Vilanova - 2014,1660 - English parliament votes to restore monarchy,1945 - Soviet Army completely surrounds Berlin
Melania Trump - 1970,Channing Tatum - 1980,Roger Taylor - 1960,Jet Li - 1963,Lucille Ball - 1994,Srinivasa Ramanujan - 1920,1954 - Seven Samurai is released in cinema,1755 - First Russian university opens
Patrick Stump - 1984,Jenna Coleman - 1986,Tess Daly - 1969,Ulysses S Grant - 1822,Ferdinand Magellan - 1521,Ruth Handler - 2002,1810 - Beethoven composes fur elise,1961 - Sierra Leone declares independence from UK
Jessica Alba - 1981,Penelope Cruz - 1974,Jay Leno - 1950,Harper Lee - 1926,Benito Mussolini - 1945,Alf Ramsay - 1999,1770 - James Cook lands on Australia for first time,1969 - Charles De Gaulle resigns as president of France
Uma Thurman - 1970,Michelle Pfeiffer - 1958,Kian Egan - 1980,Daniel Day-Lewis - 1957,Alfred Hitchcock - 1980,Albert Hofmann - 2008,2011 - Wedding of Prince William and Kate Middleton,1429 - Joan of Arc arrives at the siege of Orleans
Gal Gadot - 1985,Leigh Francis - 1973,Kirsten Dunst - 1982,Kunal Nayyar - 1981,Adolf Hitler - 1945,Eva Braun - 1945,1789 - George Washington inaugrated as first president of US,1859 - A Tale of Two Cities is published
Joanna Lumley - 1946,Jamie Dornan - 1982,Tim McGraw - 1967,James Murray - 1976,Ayrton Senna - 1994,Joseph Goebbels - 1945,1952 - Mr Potato Head released in stores,2000 - Gladiator premieres in LA
David Beckham - 1975,Dwayne Johnson - 1972,Engelbert Humperdink - 1936,Princess Charlotte - 2015,Leonardo Da Vinci - 1519,Jeff Hanneman - 2013,1945 - Battle of Berlin ends,2011 - Osama Bin Laden is killed by US special forces
Rob Brydon - 1965,Christina Hendricks - 1975,Mary Lambert - 1989,Bing Crosby - 1903,Jackie Cooper - 2011,James McHenry - 1816,1915 - In Flanders Field poem written,1944 - Meat Rationing ends in US
Audrey Hepburn - 1929,Rory McIlroy - 1989,Laura Whitmore - 1985,Will Arnett - 1976,Diana Dors - 1984,Elena Baltacha - 2014,1851 - A quarter of San Francisco destroyed in fire,1979 - Margaret Thatcher becomes fist female prime minister of UK
